normalized_model,dataset,seed,run_dir,artifact_root,checkpoint_path,checkpoint_kind,recall,ndcg,coverage,tail_exposure
dcd,yelp,42,/root/autodl-tmp/artifacts_gate1/yelp_dcd_s42,/root/autodl-tmp/artifacts_gate1,/root/autodl-tmp/artifacts_gate1/yelp_dcd_s42/best_model.pt,best_model.pt,0.06787649167521118,0.03658902590901029,0.26994849724848313,0.18193062068270055
dcd,yelp,43,/root/autodl-tmp/artifacts_gate2/yelp_dcd_s43,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/yelp_dcd_s43/best_model.pt,best_model.pt,0.05856405674469987,0.03168446335431264,0.3926026527444617,0.1822633993848636
dcd,yelp,44,/root/autodl-tmp/artifacts_gate2/yelp_dcd_s44,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/yelp_dcd_s44/best_model.pt,best_model.pt,0.05861758987945544,0.031743670168873514,0.3955129109637364,0.18232138355266475
dcd,amazon,42,/root/autodl-tmp/artifacts_gate1/amazon_dcd_s42,/root/autodl-tmp/artifacts_gate1,/root/autodl-tmp/artifacts_gate1/amazon_dcd_s42/best_model.pt,best_model.pt,0.016428784880686838,0.008569196850268123,0.1118641672690512,6.84317234168257e-05
dcd,amazon,43,/root/autodl-tmp/artifacts_gate2/amazon_dcd_s43,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/amazon_dcd_s43/best_model.pt,best_model.pt,0.013684330313610242,0.007164628926108745,0.13234071231745032,7.778264214459071e-05
dcd,amazon,44,/root/autodl-tmp/artifacts_gate2/amazon_dcd_s44,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/amazon_dcd_s44/best_model.pt,best_model.pt,0.013606281200777656,0.007272938651337134,0.13291954497774347,5.568047060623706e-05
dice,yelp,42,/root/autodl-tmp/artifacts/yelp_dice_s42,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_dice_s42/best_model.pt,best_model.pt,0.05782166084973935,0.030765092082016825,0.15685409905460704,0.17225936570362527
dice,yelp,43,/root/autodl-tmp/artifacts/yelp_dice_s43,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_dice_s43/best_model.pt,best_model.pt,0.057864638785699286,0.03097668084750251,0.15884718498659517,0.17766500277315586
dice,yelp,44,/root/autodl-tmp/artifacts/yelp_dice_s44,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_dice_s44/best_model.pt,best_model.pt,0.05739285035888038,0.030720603888249872,0.1558134612671088,0.16726213885947663
dice,amazon,42,/root/autodl-tmp/artifacts/amazon_dice_s42,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/amazon_dice_s42/best_model.pt,best_model.pt,0.018139541090462726,0.009363023804845199,0.20089841350935644,0.0006613649791091975
dice,amazon,43,/root/autodl-tmp/artifacts/amazon_dice_s43,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/amazon_dice_s43/best_model.pt,best_model.pt,0.018116654680625233,0.009367067877824755,0.15737182796984636,0.0006569020406254915
invcf,yelp,42,/root/autodl-tmp/artifacts/yelp_invcf_s42,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_invcf_s42/best_model.pt,best_model.pt,0.053558222143182906,0.028546205875129075,0.1352299985889657,0.32213280895477236
invcf,yelp,43,/root/autodl-tmp/artifacts/yelp_invcf_s43,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_invcf_s43/best_model.pt,best_model.pt,0.05431818951233714,0.02875639362760915,0.14020389445463524,0.31819795290677155
invcf,yelp,44,/root/autodl-tmp/artifacts/yelp_invcf_s44,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_invcf_s44/best_model.pt,best_model.pt,0.053926166597212534,0.028746864815708713,0.13734655002116553,0.3139358644683104
invcf,amazon,42,/root/autodl-tmp/artifacts/amazon_invcf_s42,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/amazon_invcf_s42/best_model.pt,best_model.pt,0.01776195652639988,0.00904543708623026,0.18131865145577772,0.0017205690459087604
invcf,amazon,43,/root/autodl-tmp/artifacts/amazon_invcf_s43,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/amazon_invcf_s43/best_model.pt,best_model.pt,,,,
pdcl_b05,yelp,42,/root/autodl-tmp/artifacts_gate1/yelp_dcd_pdcl_b05_s42,/root/autodl-tmp/artifacts_gate1,/root/autodl-tmp/artifacts_gate1/yelp_dcd_pdcl_b05_s42/best_model.pt,best_model.pt,0.06937561861361193,0.037549106626005475,0.24021094962607592,0.1796157918620481
pdcl_b05,yelp,43,/root/autodl-tmp/artifacts_gate2/yelp_dcd_pdcl_b05_s43,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/yelp_dcd_pdcl_b05_s43/best_model.pt,best_model.pt,0.06923326297272282,0.037423026978602954,0.24146324255679413,0.1779720667574245
pdcl_b05,yelp,44,/root/autodl-tmp/artifacts_gate2/yelp_dcd_pdcl_b05_s44,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/yelp_dcd_pdcl_b05_s44/best_model.pt,best_model.pt,0.06976705592625991,0.03760320100161281,0.24005220826866092,0.17791710785055212
pdcl_b05,amazon,42,/root/autodl-tmp/artifacts_gate1/amazon_dcd_pdcl_b05_s42,/root/autodl-tmp/artifacts_gate1,/root/autodl-tmp/artifacts_gate1/amazon_dcd_pdcl_b05_s42/best_model.pt,best_model.pt,0.021282574442104105,0.010962008844886196,0.0928007348185509,0.00011221102473318004
pdcl_b05,amazon,43,/root/autodl-tmp/artifacts_gate2/amazon_dcd_pdcl_b05_s43,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/amazon_dcd_pdcl_b05_s43/best_model.pt,best_model.pt,0.021397976475830156,0.011085931519245428,0.09303715942627629,0.0001258123610644746
pdcl_b05,amazon,44,/root/autodl-tmp/artifacts_gate2/amazon_dcd_pdcl_b05_s44,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/amazon_dcd_pdcl_b05_s44/best_model.pt,best_model.pt,0.021131890724152246,0.010966740816881993,0.09349913854482013,0.00010392271040629741
apdcl_bmax10,yelp,42,/root/autodl-tmp/artifacts_gate1/yelp_dcd_apdcl_bmax10_s42,/root/autodl-tmp/artifacts_gate1,/root/autodl-tmp/artifacts_gate1/yelp_dcd_apdcl_bmax10_s42/best_model.pt,best_model.pt,0.06970082127208257,0.03755862659834231,0.25410963736418796,0.1801426914738063
apdcl_bmax10,yelp,43,/root/autodl-tmp/artifacts_gate2/yelp_dcd_apdcl_bmax10_s43,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/yelp_dcd_apdcl_bmax10_s43/best_model.pt,best_model.pt,0.06319896197695618,0.034318535040308504,0.4105580640609567,0.18115060757323653
apdcl_bmax10,yelp,44,/root/autodl-tmp/artifacts_gate2/yelp_dcd_apdcl_bmax10_s44,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/yelp_dcd_apdcl_bmax10_s44/best_model.pt,best_model.pt,0.0630933873478831,0.03405839605093203,0.4141914773528997,0.1812201885745979
apdcl_bmax10,amazon,42,/root/autodl-tmp/artifacts_gate1/amazon_dcd_apdcl_bmax10_s42,/root/autodl-tmp/artifacts_gate1,/root/autodl-tmp/artifacts_gate1/amazon_dcd_apdcl_bmax10_s42/best_model.pt,best_model.pt,0.02139000631134936,0.011016033145835949,0.10580408824344668,0.00013643840507329846
apdcl_bmax10,amazon,43,/root/autodl-tmp/artifacts_gate2/amazon_dcd_apdcl_bmax10_s43,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/amazon_dcd_apdcl_bmax10_s43/best_model.pt,best_model.pt,0.021494609876913245,0.011154392337621026,0.10570625737128446,0.0001453642820407105
apdcl_bmax10,amazon,44,/root/autodl-tmp/artifacts_gate2/amazon_dcd_apdcl_bmax10_s44,/root/autodl-tmp/artifacts_gate2,/root/autodl-tmp/artifacts_gate2/amazon_dcd_apdcl_bmax10_s44/best_model.pt,best_model.pt,0.02122157797997766,0.011022696379747132,0.10649433939703573,0.0001283626116265923
paac,yelp,42,/root/autodl-tmp/artifacts/yelp_paac_s42,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_paac_s42/best_model.pt,best_model.pt,0.06811317668664324,0.03701010665295108,0.12755749964724142,0.17553521907931224
paac,yelp,43,/root/autodl-tmp/artifacts/yelp_paac_s43,/root/autodl-tmp/artifacts,/root/autodl-tmp/artifacts/yelp_paac_s43/best_model.pt,best_model.pt,0.06830580742751814,0.03736629149221708,0.1265168618597432,0.17607623657540464
