dataset,model_a,model_b,dimension,delta_consistency_rate,delta_alignment_to_coverage,delta_alignment_to_tail_exposure
yelp,pdcl_b05,apdcl_bmax10,balanced,0.12,-1.0,-1.0
yelp,pdcl_b05,apdcl_bmax10,diversity,0.30000000000000004,-1.0,-1.0
yelp,invcf,paac,diversity,0.3400000000000001,-1.0,-1.0
amazon,dcd,apdcl_bmax10,balanced,0.020000000000000018,1.0,-1.0
amazon,dcd,dice,balanced,-0.12,0.0,0.0
yelp,dcd,dice,balanced,-0.09999999999999998,0.0,0.0
amazon,invcf,paac,balanced,-0.07999999999999996,0.0,0.0
yelp,invcf,paac,balanced,0.020000000000000018,0.0,0.0
yelp,dice,apdcl_bmax10,balanced,0.09999999999999998,0.0,0.0
amazon,invcf,paac,diversity,0.45999999999999996,0.0,0.0
